"d_2008","r_2008","d_2004","r_2004","d_2000","r_2000","d_1996","r_1996","d_1992","r_1992","d_1988","r_1988","d_1984","r_1984","d_1980","r_1980","d_1976","r_1976","d_1972","r_1972","d_1968","r_1968","d_1964","r_1964","d_1960","r_1960","d_1956","r_1956","d_1952","r_1952","d_1948","r_1948","d_1944","r_1944","d_1940","r_1940","d_1936","r_1936","d_1932","r_1932","state"
813479,1266546,693933,1176394,692611,941173,662165,769044,690080,804283,549506,815576,551899,872849,636730,654192,659170,504070,256923,728701,196579,146923,0,479085,318303,237981,280844,195694,275075,149231,0,40930,198918,44540,250726,42184,238196,35358,207910,34675,"Alabama"
123594,193841,111025,190889,79004,167398,80380,122746,78294,102000,72584,119251,62007,138377,41842,86112,44058,71555,32967,55349,35411,37600,44329,22930,29809,30953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska"
1034707,1230111,893524,1104294,685341,781652,653288,622073,543050,572086,454029,702541,333854,681416,246843,529688,295602,418642,198540,402812,170514,266721,237753,242535,176781,221241,112880,176990,108528,152042,95251,77597,80926,56287,95267,54030,86722,33433,79264,36104,"Arizona"
422310,638017,469953,572898,422768,472940,475171,325416,505823,337324,349237,466578,338646,534774,398041,403164,499614,268753,198899,445751,184901,189062,314197,243264,215049,184508,213277,186287,226300,177155,149659,50959,148965,63551,158622,42121,146765,32039,189602,28467,"Arkansas"
8274473,5011781,6745485,5509826,5861203,4567429,5119835,3828380,5121325,3630574,4702233,5054917,3922519,5467009,3083661,4524858,3742284,3882244,3500000,4600000,3244318,3467664,4171877,2879108,3200000,3300000,2400000,3000000,2300000,3000000,1913134,1895269,2000000,1500000,1900000,1400000,1766836,836431,1324157,847902,"California"
1288633,1073629,1001732,1101255,738227,883748,671152,691848,629681,562850,621453,728177,454974,821818,367973,652264,460353,584367,329980,597189,335174,409345,476024,296767,330629,402242,263997,394479,245504,379782,267288,239714,234331,268731,265554,279576,295021,181267,250877,189617,"Colorado"
997772,629428,857488,693826,816015,561094,735740,483109,682318,578313,676584,750241,569597,890877,541732,677210,647895,719261,555498,810763,621561,556721,826269,390996,657055,565813,405079,711837,481649,611012,423297,437754,435146,390527,417621,361819,382129,278685,281632,288420,"Connecticut"
255459,152374,200152,171660,180068,137288,140355,99062,126054,102313,108647,139639,101656,152190,105754,111252,122596,109831,92283,140357,89194,96714,122704,78078,99590,96373,79421,98057,83315,90059,67813,69588,68166,56747,74599,61440,69702,57236,54319,57073,"Delaware"
245800,17367,202970,21256,171923,18073,158220,17339,192619,20698,159407,27590,180408,29009,130231,23313,137818,27873,127627,35226,139566,31012,169796,28801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia"
4282074,4045624,3583544,3964522,2912253,2912790,2546870,2244536,2072698,2173310,1656701,2618885,1448816,2730350,1419475,2046951,1636000,1469531,718117,1900000,676794,886804,948540,905941,748700,795476,480371,643849,444950,544036,281988,194280,339377,143215,359334,126158,249117,78248,206307,69170,"Florida"
1844123,2048759,1366149,1914254,1116230,1419720,1053849,1080843,1008966,995252,714792,1081331,706628,1068722,890733,654168,979409,483743,289529,881496,334440,380111,522557,616584,458638,274472,441094,216652,456823,198979,254646,76691,268187,59880,265194,46360,255364,36942,234118,19863,"Georgia"
325871,120566,231708,194191,205286,137845,205012,113943,179310,136822,192364,158625,147154,185050,135879,130112,147375,140003,101409,168865,141324,91425,163249,44022,92410,92295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hawaii"
236440,403012,181098,409235,138637,336937,165443,256595,137013,202645,147272,253881,108510,297523,110192,290699,126549,204151,80826,199384,89273,165369,148920,143557,138853,161597,105868,166979,95081,180707,107370,101514,107399,100137,127842,106553,125683,66256,109479,71417,"Idaho"
3419348,2031179,2891550,2345946,2589026,2019421,2341744,1587021,2453350,1734096,2215940,2310939,2086499,2707103,1981413,2358049,2271295,2364269,1900000,2800000,2039814,2174774,2796833,1905946,2400000,2400000,1800000,2600000,2000000,2500000,1994715,1961103,2100000,1900000,2149934,2047240,2282999,1570393,1882304,1432756,"Illinois"
1374039,1345648,969011,1479438,901980,1245836,887424,1006693,848420,989375,860643,1297763,841481,1377230,844197,1255656,1014714,1183958,708568,1400000,806659,1067885,1170848,911118,952358,1200000,783908,1200000,801530,1100000,807833,821079,781403,875891,874063,899466,934974,691570,862054,677184,"Indiana"
828940,682379,741898,751957,638517,634373,620258,492644,586353,504891,670557,545355,605620,703088,508672,676026,619931,632863,496206,706207,476699,619106,733030,449148,550565,722381,501858,729187,451513,808906,522380,494018,499876,547267,578800,632370,621756,487977,598019,414433,"Iowa"
514765,699655,434993,736456,399276,622332,387659,583245,390434,449951,422636,554049,333149,677296,326150,566812,430421,502752,270287,619812,302996,478674,464028,386579,363213,561474,296317,566878,273296,616302,351902,423039,287458,442096,364725,489169,464520,397727,424204,349498,"Kansas"
751985,1048462,712733,1069439,638898,872492,636614,623283,665104,617178,580368,734281,539589,822782,616417,635274,615717,531852,371159,676446,397541,462411,669659,372977,521855,602607,476453,572192,495729,495029,466756,341210,472589,392448,557222,410384,541944,369702,580574,394716,"Kentucky"
782989,1148275,820299,1102169,792344,927871,927837,712586,815971,733386,717460,883702,651586,1037299,708453,792853,661365,587446,298142,686852,309615,257535,387068,509225,407339,230980,243977,329047,345027,306925,136344,72657,281564,67750,319751,52446,292894,36791,249418,18853,"Louisiana"
421923,295273,396842,330201,319951,286616,312788,186378,263420,206504,243569,307131,214515,336500,220974,238522,232279,236320,160584,256458,217312,169254,262264,118701,181159,240608,102468,249238,118806,232353,111916,150234,140631,155434,156478,163951,126333,168823,128907,166631,"Maine"
1629467,959862,1334493,1024703,1145782,813797,966207,681530,988571,707094,826304,876167,787935,879918,726161,680606,759612,672661,505781,829305,538310,517995,730912,385495,565808,489538,372613,559738,395337,499424,286521,294814,315490,292949,384546,269534,389612,231435,314314,184184,"Maryland"
1904097,1108854,1803800,1071109,1616487,878502,1571763,718107,1318662,805049,1401406,1194644,1239606,1310936,1053802,1057631,1429475,1030276,1300000,1100000,1469218,766844,1786422,549727,1500000,976750,948190,1400000,1100000,1300000,1151788,909370,1000000,921350,1076522,939700,942716,768613,800148,736959,"Massachusetts"
2872579,2048639,2479183,2313746,2170418,1953139,1989653,1481212,1871182,1554940,1675783,1965486,1529638,2251571,1661532,1915225,1696714,1893742,1500000,2000000,1593082,1370665,2136615,1060152,1700000,1600000,1400000,1700000,1200000,1600000,1003448,1038595,1100000,1100000,1032991,1039917,1016794,699733,871700,739894,"Michigan"
1573354,1275409,1445014,1346695,1168266,1109659,1120438,766476,1020997,747841,1109471,962337,1036364,1032603,954174,873241,1070440,819395,802346,898269,857738,658643,991117,559624,779933,757915,617525,719302,608458,763211,692966,483617,589864,527416,644196,596274,698811,350461,600806,363959,"Minnesota"
554662,724597,458094,684981,404614,572844,394022,439838,400258,487793,363921,557890,352192,581477,429281,441089,381309,366846,126782,505125,150644,88516,52618,356528,108362,73561,144498,60685,172566,112966,19384,5043,168479,11601,168267,7364,157318,4443,140168,5180,"Mississippi"
1441911,1445814,1259171,1455713,1111138,1189924,1025935,890016,1053873,811159,1001619,1084953,848583,1274188,931182,1074181,998387,927443,698531,1200000,791444,811932,1164344,653535,972201,962221,918273,914289,929830,959429,917315,655039,807804,761524,958476,871009,1111043,697891,1025406,564713,"Missouri"
231667,242763,173710,266063,137126,240178,167922,179652,154507,144207,168936,190412,146742,232450,118032,206814,149259,173703,120197,183976,114117,138835,164246,113032,134891,141841,116238,154933,106213,157394,119071,96770,112556,93163,145698,99579,159690,63598,127286,78078,"Montana"
333319,452979,254328,512814,231780,433862,236761,363467,217344,344346,259646,398447,187866,460054,166851,419937,233692,359705,169991,406298,170784,321163,307307,276847,232542,380553,199029,378108,188057,421603,224165,264774,233246,329880,263677,352201,347445,247731,359082,201177,"Nebraska"
533736,412827,397190,418690,279978,301575,203974,199244,189148,175828,132738,206040,91655,188770,66666,155017,92479,101273,66016,115750,60598,73188,79339,56094,54880,52387,40640,56049,31688,50502,31291,29357,29623,24611,31945,21229,31925,11923,28756,12674,"Nevada"
384826,316534,340511,331237,266348,273559,246214,196532,209040,202484,163696,281537,120395,267051,108864,221705,147635,185935,116435,213724,130589,154903,182065,104029,137772,157989,90364,176519,106663,166287,107995,121299,119663,109916,125292,110127,108460,104642,100680,103629,"New Hampshire"
2215422,1613207,1911430,1670003,1788850,1284173,1652329,1103078,1436206,1356865,1320352,1743192,1261323,1933630,1147364,1546557,1444653,1509688,1100000,1800000,1264206,1325467,1867671,963843,1400000,1400000,850337,1600000,1000000,1400000,895455,981124,987874,961335,1016404,944876,1083549,719421,806394,775406,"New Jersey"
472422,346832,370942,376930,286783,286417,273495,232751,261617,212824,244497,270341,201769,307101,167826,250779,201148,211419,141084,235606,130081,169692,194017,131838,156027,153733,106098,146788,105661,132170,105464,80303,81389,70688,103699,79315,106037,61727,95089,54217,"New Mexico"
4804945,2752771,4314280,2962567,4107697,2403374,3756177,1933492,3444450,2346649,3347882,3081871,3119609,3664763,2728372,2893831,3389558,3100791,3000000,4200000,3378470,3007932,4913156,2243559,3800000,3400000,2800000,4300000,3100000,4000000,2780204,2841163,3300000,3000000,3251918,3027478,3293222,2180670,2534959,1937963,"New York"
2142651,2128474,1525849,1961166,1257692,1631163,1107849,1225938,1114042,1134661,890167,1237258,824287,1346481,875635,915018,927365,741960,438705,1100000,464113,627192,800139,624844,713136,655420,590530,575062,652803,558107,459070,258572,527399,263155,609015,213633,616141,223283,497566,208344,"North Carolina"
141278,168601,111052,196651,95284,174852,106905,125050,99168,136244,127739,166559,104429,200336,79189,193695,136078,153470,100384,174109,94769,138669,149784,108207,123963,154310,96742,156766,76694,191712,95812,115139,100144,118535,124036,154590,163148,72751,178350,71772,"North Dakota"
2940044,2677820,2741167,2859768,2186190,2351209,2148222,1859883,1984942,1894310,1939629,2416549,1825440,2678560,1752414,2206545,2011621,2000505,1600000,2400000,1700586,1791014,2498331,1470865,1900000,2200000,1400000,2300000,1600000,2100000,1452791,1445684,1600000,1600000,1733139,1586773,1747140,1127855,1301695,1227319,"Ohio"
502496,960165,503966,959792,474276,744337,488105,582315,473066,592929,483423,678367,385080,861530,402026,695570,532442,545708,247147,759025,301658,449697,519834,412665,370111,533039,385581,473769,430939,518045,452782,268817,401549,319424,474313,348872,501069,245122,516468,188165,"Oklahoma"
1037291,738475,943163,866831,720342,713577,649641,538152,621314,475757,616206,560126,536479,685700,456890,571044,490407,492120,392760,486686,358866,408433,501017,282779,367402,408060,329204,406393,270579,420815,243147,260904,248635,225365,258415,219555,266733,122706,213871,136019,"Oregon"
3276363,2655885,2938095,2793847,2485967,2281127,2215819,1801169,2239164,1791841,2194944,2300087,2228131,2584323,1937540,2261872,2328677,2205604,1800000,2700000,2259405,2090017,3130954,1673657,2600000,2400000,2000000,2600000,2100000,2400000,1752426,1902197,1900000,1800000,2171035,1889848,2353987,1690200,1295948,1453540,"Pennsylvania"
296571,165391,259765,169046,249508,130555,233050,104683,213299,131601,225123,177761,197106,212080,198342,154793,227636,181249,194645,220383,246518,122359,315463,74615,258032,147502,161790,225819,203293,210935,188736,135787,175356,123487,182182,138653,165238,125031,146604,115266,"Rhode Island"
862449,1034896,661699,937974,565561,785937,506283,573458,479514,577507,370554,606443,344470,615539,427560,441207,450825,346140,189270,478427,197486,254062,215700,309048,198129,188558,136372,75700,173004,168082,34423,5386,90601,4610,95470,4360,113791,1646,102347,1978,"South Carolina"
170924,203054,149244,232584,118804,190700,139333,150543,124888,136718,145560,165415,116113,200267,103855,198343,147068,151505,139945,166476,118023,149841,163010,130108,128070,178417,122288,171569,90426,203857,117653,129651,96711,135365,131362,177065,160137,125977,183515,99212,"South Dakota"
1087437,1479178,1036477,1384375,981720,1061949,909146,863530,933521,841300,679794,947233,711714,990212,783051,787761,825879,633969,357293,813147,351233,472592,634947,508965,481453,556577,456507,462288,443710,446147,270402,202914,308707,200311,351601,169153,328083,146520,259473,126752,"Tennessee"
3528633,4479328,2832704,4526917,2433746,3799639,2459683,2736167,2281815,2496071,2352748,3036829,1949276,3433428,1881147,2510705,2082319,1953300,1200000,2300000,1266804,1227844,1663185,958566,1200000,1100000,859958,1100000,969228,1100000,824235,303467,821605,191425,909974,212692,734485,103874,760348,97959,"Texas"
327670,596030,241199,663742,203053,515096,221633,361911,183429,322632,207343,428442,155369,469105,124266,439687,182110,337908,126284,323643,156665,238728,219628,180682,169248,205361,118364,215631,135364,194190,149151,124402,150088,97891,154277,93151,150246,64555,116750,84795,"Utah"
219262,98974,184067,121180,149022,119775,137894,80352,133592,88122,115775,124331,95730,135865,81891,94598,81044,102085,68174,117149,70255,85142,108127,54942,69186,98131,42549,110390,43355,109717,45557,75926,53820,71527,64269,78371,62124,81023,56266,78984,"Vermont"
1959532,1725005,1454742,1716959,1217290,1437490,1091060,1138350,1038650,1150517,859799,1309162,796250,1337078,752174,989609,813896,836554,438887,988493,442387,590319,558038,481334,362327,404521,267760,386459,268677,349037,200786,172070,242276,145243,235961,109363,234980,98336,203979,89637,"Virginia"
1750848,1229216,1510201,1304894,1247652,1108864,1123323,840712,993037,731234,933516,903835,807352,1051670,650193,865244,717323,777732,568334,837135,616037,588510,779881,470366,599298,629273,523002,620430,492845,599107,476165,386315,486774,361689,462145,322123,459579,206892,353260,208645,"Washington"
303857,397466,326541,423778,295497,336475,327812,233946,331001,241974,341016,310065,328125,405483,367462,334206,435914,314760,277435,484964,374091,307555,538087,253953,441786,395995,381534,449297,453578,419970,429188,316251,392777,322819,495662,372414,502582,325358,405124,330731,"West Vriginia"
1677211,1262393,1489504,1478120,1242987,1237279,1071971,845029,1041066,930855,1126794,1047499,995847,1198800,981584,1088845,1040232,1004987,810174,989430,748804,809997,1050424,638495,830805,895175,586768,954844,622175,979744,647310,590959,650413,674532,704821,679206,802984,380828,707410,347741,"Wisconsin"
82868,164958,70776,167629,60481,147947,77934,105388,68160,79347,67113,106867,53370,133241,49427,110700,62239,92717,44358,100464,45173,70927,80718,61998,63331,77451,49554,74573,47934,81047,52354,47947,49419,51921,59287,52633,62624,38739,54370,39583,"Wyoming"
